Date,Location,Population
2015-07,Saskatchewan,1122210
2015-10,Saskatchewan,1125588
2016-01,Saskatchewan,1128160
2016-04,Saskatchewan,1131285
2016-07,Saskatchewan,1135496
2016-10,Saskatchewan,1139492
2017-01,Saskatchewan,1141537
2017-04,Saskatchewan,1143829
2017-07,Saskatchewan,1147315
2017-10,Saskatchewan,1151044
2018-01,Saskatchewan,1152366
2018-04,Saskatchewan,1153530
2018-07,Saskatchewan,1156210
2018-10,Saskatchewan,1159648
2019-01,Saskatchewan,1161529
2019-04,Saskatchewan,1161787
2019-07,Saskatchewan,1164223
2019-10,Saskatchewan,1167271
2020-01,Saskatchewan,1169426
2020-04,Saskatchewan,1169038
2020-07,Saskatchewan,1167386
2020-10,Saskatchewan,1165963
2021-01,Saskatchewan,1166348
2021-04,Saskatchewan,1167711
2021-07,Saskatchewan,1167711
2021-10,Saskatchewan,1168792
2022-01,Saskatchewan,1171007
2022-04,Saskatchewan,1173421
2022-07,Saskatchewan,1178455
2022-10,Saskatchewan,1187854
2023-01,Saskatchewan,1195464
2023-04,Saskatchewan,1201089
2023-07,Saskatchewan,1209307
2023-10,Saskatchewan,1219702
2024-01,Saskatchewan,1226848
2024-04,Saskatchewan,1233068
2024-07,Saskatchewan,1239865
2024-10,Saskatchewan,1246691
2025-01,Saskatchewan,1250909
1980-01,Alberta,2149996
1980-04,Alberta,2168863
1980-07,Alberta,2191029
1980-10,Alberta,2227159
1981-01,Alberta,2249907
1981-04,Alberta,2270227
1981-07,Alberta,2291104
1981-10,Alberta,2319715
1982-01,Alberta,2337458
1982-04,Alberta,2352042
1982-07,Alberta,2369827
1982-10,Alberta,2378405
1983-01,Alberta,2383354
1983-04,Alberta,2388090
1983-07,Alberta,2393587
1983-10,Alberta,2394239
1984-01,Alberta,2394892
1984-04,Alberta,2396706
1984-07,Alberta,2393907
1984-10,Alberta,2390913
1985-01,Alberta,2395813
1985-04,Alberta,2401499
1985-07,Alberta,2404490
1985-10,Alberta,2407001
1986-01,Alberta,2415590
1986-04,Alberta,2424950
1986-07,Alberta,2432930
1986-10,Alberta,2429949
1987-01,Alberta,2432958
1987-04,Alberta,2439074
1987-07,Alberta,2440877
1987-10,Alberta,2437537
1988-01,Alberta,2443396
1988-04,Alberta,2450646
1988-07,Alberta,2456614
1988-10,Alberta,2465242
1989-01,Alberta,2477533
1989-04,Alberta,2489032
1989-07,Alberta,2498325
1989-10,Alberta,2507203
1990-01,Alberta,2520056
1990-04,Alberta,2532621
1990-07,Alberta,2547788
1990-10,Alberta,2563142
1991-01,Alberta,2572947
1991-04,Alberta,2580625
1991-07,Alberta,2592306
1991-10,Alberta,2604031
1992-01,Alberta,2611786
1992-04,Alberta,2620771
1992-07,Alberta,2632672
1992-10,Alberta,2643421
1993-01,Alberta,2650886
1993-04,Alberta,2658293
1993-07,Alberta,2667292
1993-10,Alberta,2678623
1994-01,Alberta,2683346
1994-04,Alberta,2691443
1994-07,Alberta,2700606
1994-10,Alberta,2709011
1995-01,Alberta,2715701
1995-04,Alberta,2724946
1995-07,Alberta,2734519
1995-10,Alberta,2745255
1996-01,Alberta,2753463
1996-04,Alberta,2762903
1996-07,Alberta,2775133
1996-10,Alberta,2789691
1997-01,Alberta,2799561
1997-04,Alberta,2813157
1997-07,Alberta,2829848
1997-10,Alberta,2847526
1998-01,Alberta,2859305
1998-04,Alberta,2876753
1998-07,Alberta,2899066
1998-10,Alberta,2915781
1999-01,Alberta,2926079
1999-04,Alberta,2937393
1999-07,Alberta,2952692
1999-10,Alberta,2966682
2000-01,Alberta,2974517
2000-04,Alberta,2988465
2000-07,Alberta,3004198
2000-10,Alberta,3016947
2001-01,Alberta,3027941
2001-04,Alberta,3041238
2001-07,Alberta,3058554
2001-10,Alberta,3078756
2002-01,Alberta,3092506
2002-04,Alberta,3108716
2002-07,Alberta,3128757
2002-10,Alberta,3145227
2003-01,Alberta,3155370
2003-04,Alberta,3169295
2003-07,Alberta,3183291
2003-10,Alberta,3198059
2004-01,Alberta,3209557
2004-04,Alberta,3223659
2004-07,Alberta,3238817
2004-10,Alberta,3260721
2005-01,Alberta,3276908
2005-04,Alberta,3296359
2005-07,Alberta,3321839
2005-10,Alberta,3346802
2006-01,Alberta,3371851
2006-04,Alberta,3396809
2006-07,Alberta,3421435
2006-10,Alberta,3453945
2007-01,Alberta,3472779
2007-04,Alberta,3490849
2007-07,Alberta,3514151
2007-10,Alberta,3533414
2008-01,Alberta,3548804
2008-04,Alberta,3567475
2008-07,Alberta,3595875
2008-10,Alberta,3619319
2009-01,Alberta,3638505
2009-04,Alberta,3659235
2009-07,Alberta,3679010
2009-10,Alberta,3694318
2010-01,Alberta,3702290
2010-04,Alberta,3714999
2010-07,Alberta,3732104
2010-10,Alberta,3747235
2011-01,Alberta,3754422
2011-04,Alberta,3768774
2011-07,Alberta,3787705
2011-10,Alberta,3805071
2012-01,Alberta,3822425
2012-04,Alberta,3845093
2012-07,Alberta,3871947
2012-10,Alberta,3897746
2013-01,Alberta,3917941
2013-04,Alberta,3944281
2013-07,Alberta,3978532
2013-10,Alberta,4008421
2014-01,Alberta,4027497
2014-04,Alberta,4051858
2014-07,Alberta,4081271
2014-10,Alberta,4103702
2015-01,Alberta,4113697
2015-04,Alberta,4125943
2015-07,Alberta,4150147
2015-10,Alberta,4163048
2016-01,Alberta,4171847
2016-04,Alberta,4182353
2016-07,Alberta,4195427
2016-10,Alberta,4207139
2017-01,Alberta,4215506
2017-04,Alberta,4224933
2017-07,Alberta,4237310
2017-10,Alberta,4253530
2018-01,Alberta,4263957
2018-04,Alberta,4276444
2018-07,Alberta,4292556
2018-10,Alberta,4311439
2019-01,Alberta,4324254
2019-04,Alberta,4337569
2019-07,Alberta,4355377
2019-10,Alberta,4376860
2020-01,Alberta,4392958
2020-04,Alberta,4405455
2020-07,Alberta,4407495
2020-10,Alberta,4412013
2021-01,Alberta,4418338
2021-04,Alberta,4425617
2021-07,Alberta,4431531
2021-10,Alberta,4449956
2022-01,Alberta,4465137
2022-04,Alberta,4480389
2022-07,Alberta,4510747
2022-10,Alberta,4558643
2023-01,Alberta,4595851
2023-04,Alberta,4639399
2023-07,Alberta,4684514
2023-10,Alberta,4744897
2024-01,Alberta,4791876
2024-04,Alberta,4842523
2024-07,Alberta,4888723
2024-10,Alberta,4931601
2025-01,Alberta,4960097
1980-01,British Columbia,2707690
1980-04,British Columbia,2722921
1980-07,British Columbia,2745861
1980-10,British Columbia,2773680
1981-01,British Columbia,2790754
1981-04,British Columbia,2805394
1981-07,British Columbia,2826558
1981-10,British Columbia,2845212
1982-01,British Columbia,2857268
1982-04,British Columbia,2865557
1982-07,British Columbia,2876513
1982-10,British Columbia,2885875
1983-01,British Columbia,2891441
1983-04,British Columbia,2898574
1983-07,British Columbia,2907502
1983-10,British Columbia,2919166
1984-01,British Columbia,2927258
1984-04,British Columbia,2935384
1984-07,British Columbia,2947181
1984-10,British Columbia,2956332
1985-01,British Columbia,2962108
1985-04,British Columbia,2967584
1985-07,British Columbia,2975131
1985-10,British Columbia,2984237
1986-01,British Columbia,2988964
1986-04,British Columbia,2994267
1986-07,British Columbia,3003621
1986-10,British Columbia,3015876
1987-01,British Columbia,3021900
1987-04,British Columbia,3032807
1987-07,British Columbia,3048651
1987-10,British Columbia,3068995
1988-01,British Columbia,3081368
1988-04,British Columbia,3094274
1988-07,British Columbia,3114761
1988-10,British Columbia,3141854
1989-01,British Columbia,3158092
1989-04,British Columbia,3174623
1989-07,British Columbia,3196725
1989-10,British Columbia,3229220
1990-01,British Columbia,3247419
1990-04,British Columbia,3266888
1990-07,British Columbia,3292111
1990-10,British Columbia,3322896
1991-01,British Columbia,3339935
1991-04,British Columbia,3352585
1991-07,British Columbia,3373787
1991-10,British Columbia,3404049
1992-01,British Columbia,3423217
1992-04,British Columbia,3443237
1992-07,British Columbia,3468802
1992-10,British Columbia,3502209
1993-01,British Columbia,3522509
1993-04,British Columbia,3541936
1993-07,British Columbia,3567772
1993-10,British Columbia,3601746
1994-01,British Columbia,3623717
1994-04,British Columbia,3646632
1994-07,British Columbia,3676075
1994-10,British Columbia,3711468
1995-01,British Columbia,3730564
1995-04,British Columbia,3751377
1995-07,British Columbia,3777390
1995-10,British Columbia,3805461
1996-01,British Columbia,3826739
1996-04,British Columbia,3849847
1996-07,British Columbia,3874317
1996-10,British Columbia,3899256
1997-01,British Columbia,3914490
1997-04,British Columbia,3931056
1997-07,British Columbia,3948583
1997-10,British Columbia,3964677
1998-01,British Columbia,3972821
1998-04,British Columbia,3977912
1998-07,British Columbia,3983113
1998-10,British Columbia,3990451
1999-01,British Columbia,3995643
1999-04,British Columbia,4002433
1999-07,British Columbia,4011375
1999-10,British Columbia,4021600
2000-01,British Columbia,4026664
2000-04,British Columbia,4033319
2000-07,British Columbia,4039230
2000-10,British Columbia,4049297
2001-01,British Columbia,4055229
2001-04,British Columbia,4066132
2001-07,British Columbia,4076896
2001-10,British Columbia,4085595
2002-01,British Columbia,4087124
2002-04,British Columbia,4094170
2002-07,British Columbia,4100504
2002-10,British Columbia,4108351
2003-01,British Columbia,4110197
2003-04,British Columbia,4114884
2003-07,British Columbia,4124447
2003-10,British Columbia,4134598
2004-01,British Columbia,4139895
2004-04,British Columbia,4145916
2004-07,British Columbia,4155630
2004-10,British Columbia,4167802
2005-01,British Columbia,4174017
2005-04,British Columbia,4182971
2005-07,British Columbia,4196076
2005-10,British Columbia,4212674
2006-01,British Columbia,4217956
2006-04,British Columbia,4227980
2006-07,British Columbia,4241793
2006-10,British Columbia,4258653
2007-01,British Columbia,4265328
2007-04,British Columbia,4276745
2007-07,British Columbia,4290987
2007-10,British Columbia,4312048
2008-01,British Columbia,4319657
2008-04,British Columbia,4331706
2008-07,British Columbia,4349338
2008-10,British Columbia,4371128
2009-01,British Columbia,4381832
2009-04,British Columbia,4395197
2009-07,British Columbia,4410513
2009-10,British Columbia,4431587
2010-01,British Columbia,4441345
2010-04,British Columbia,4453756
2010-07,British Columbia,4465557
2010-10,British Columbia,4483613
2011-01,British Columbia,4482262
2011-04,British Columbia,4488509
2011-07,British Columbia,4503819
2011-10,British Columbia,4529186
2012-01,British Columbia,4539775
2012-04,British Columbia,4552320
2012-07,British Columbia,4570866
2012-10,British Columbia,4594846
2013-01,British Columbia,4602742
2013-04,British Columbia,4616335
2013-07,British Columbia,4634943
2013-10,British Columbia,4663919
2014-01,British Columbia,4672025
2014-04,British Columbia,4689892
2014-07,British Columbia,4712691
2014-10,British Columbia,4743505
2015-01,British Columbia,4751439
2015-04,British Columbia,4763917
2015-07,British Columbia,4765472
2015-10,British Columbia,4795547
2016-01,British Columbia,4807562
2016-04,British Columbia,4831042
2016-07,British Columbia,4861269
2016-10,British Columbia,4886638
2017-01,British Columbia,4894147
2017-04,British Columbia,4908971
2017-07,British Columbia,4934202
2017-10,British Columbia,4962706
2018-01,British Columbia,4974712
2018-04,British Columbia,4991716
2018-07,British Columbia,5020979
2018-10,British Columbia,5052131
2019-01,British Columbia,5061132
2019-04,British Columbia,5080515
2019-07,British Columbia,5111022
2019-10,British Columbia,5148047
2020-01,British Columbia,5157053
2020-04,British Columbia,5169535
2020-07,British Columbia,5176101
2020-10,British Columbia,5173896
2021-01,British Columbia,5180015
2021-04,British Columbia,5200393
2021-07,British Columbia,5226665
2021-10,British Columbia,5267182
2022-01,British Columbia,5287422
2022-04,British Columbia,5311608
2022-07,British Columbia,5357486
2022-10,British Columbia,5408601
2023-01,British Columbia,5443002
2023-04,British Columbia,5478258
2023-07,British Columbia,5531553
2023-10,British Columbia,5593961
2024-01,British Columbia,5627961
2024-04,British Columbia,5666888
2024-07,British Columbia,5698430
2024-10,British Columbia,5719594
2025-01,British Columbia,5722318
1980-01,Yukon,22834
1980-04,Yukon,22876
1980-07,Yukon,23019
1980-10,Yukon,23380
1981-01,Yukon,23311
1981-04,Yukon,23517
1981-07,Yukon,23880
1981-10,Yukon,24120
1982-01,Yukon,24302
1982-04,Yukon,24571
1982-07,Yukon,24668
1982-10,Yukon,24320
1983-01,Yukon,23838
1983-04,Yukon,23702
1983-07,Yukon,23664
1983-10,Yukon,23760
1984-01,Yukon,23544
1984-04,Yukon,23603
1984-07,Yukon,23921
1984-10,Yukon,24168
1985-01,Yukon,24156
1985-04,Yukon,24245
1985-07,Yukon,24375
1985-10,Yukon,24458
1986-01,Yukon,24359
1986-04,Yukon,24364
1986-07,Yukon,24430
1986-10,Yukon,24782
1987-01,Yukon,25125
1987-04,Yukon,25386
1987-07,Yukon,25706
1987-10,Yukon,25808
1988-01,Yukon,25902
1988-04,Yukon,26335
1988-07,Yukon,26653
1988-10,Yukon,26582
1989-01,Yukon,26898
1989-04,Yukon,27053
1989-07,Yukon,27167
1989-10,Yukon,27197
1990-01,Yukon,27605
1990-04,Yukon,27824
1990-07,Yukon,27957
1990-10,Yukon,28023
1991-01,Yukon,28223
1991-04,Yukon,28494
1991-07,Yukon,28871
1991-10,Yukon,29142
1992-01,Yukon,29239
1992-04,Yukon,29510
1992-07,Yukon,30084
1992-10,Yukon,30034
1993-01,Yukon,29964
1993-04,Yukon,30112
1993-07,Yukon,30337
1993-10,Yukon,30016
1994-01,Yukon,29670
1994-04,Yukon,29682
1994-07,Yukon,29684
1994-10,Yukon,29606
1995-01,Yukon,29882
1995-04,Yukon,30143
1995-07,Yukon,30442
1995-10,Yukon,30875
1996-01,Yukon,30963
1996-04,Yukon,31142
1996-07,Yukon,31387
1996-10,Yukon,31596
1997-01,Yukon,31633
1997-04,Yukon,31659
1997-07,Yukon,31797
1997-10,Yukon,31556
1998-01,Yukon,31510
1998-04,Yukon,31320
1998-07,Yukon,31149
1998-10,Yukon,30877
1999-01,Yukon,30748
1999-04,Yukon,30602
1999-07,Yukon,30785
1999-10,Yukon,30608
2000-01,Yukon,30495
2000-04,Yukon,30382
2000-07,Yukon,30431
2000-10,Yukon,30294
2001-01,Yukon,30147
2001-04,Yukon,30124
2001-07,Yukon,30160
2001-10,Yukon,30079
2002-01,Yukon,30156
2002-04,Yukon,30144
2002-07,Yukon,30339
2002-10,Yukon,30268
2003-01,Yukon,30424
2003-04,Yukon,30575
2003-07,Yukon,30943
2003-10,Yukon,31219
2004-01,Yukon,31320
2004-04,Yukon,31400
2004-07,Yukon,31455
2004-10,Yukon,31688
2005-01,Yukon,31770
2005-04,Yukon,31861
2005-07,Yukon,31901
2005-10,Yukon,32127
2006-01,Yukon,32112
2006-04,Yukon,32152
2006-07,Yukon,32272
2006-10,Yukon,32361
2007-01,Yukon,32316
2007-04,Yukon,32274
2007-07,Yukon,32555
2007-10,Yukon,32663
2008-01,Yukon,32752
2008-04,Yukon,32955
2008-07,Yukon,33084
2008-10,Yukon,33307
2009-01,Yukon,33405
2009-04,Yukon,33583
2009-07,Yukon,33733
2009-10,Yukon,34027
2010-01,Yukon,34009
2010-04,Yukon,34243
2010-07,Yukon,34598
2010-10,Yukon,34790
2011-01,Yukon,34802
2011-04,Yukon,34984
2011-07,Yukon,35366
2011-10,Yukon,35578
2012-01,Yukon,35695
2012-04,Yukon,35757
2012-07,Yukon,36151
2012-10,Yukon,36347
2013-01,Yukon,36299
2013-04,Yukon,36242
2013-07,Yukon,36454
2013-10,Yukon,36384
2014-01,Yukon,36333
2014-04,Yukon,36626
2014-07,Yukon,37085
2014-10,Yukon,37223
2015-01,Yukon,37123
2015-04,Yukon,37330
2015-07,Yukon,37669
2015-10,Yukon,37730
2016-01,Yukon,37756
2016-04,Yukon,38025
2016-07,Yukon,38549
2016-10,Yukon,38724
2017-01,Yukon,38801
2017-04,Yukon,39108
2017-07,Yukon,39533
2017-10,Yukon,39705
2018-01,Yukon,39873
2018-04,Yukon,40037
2018-07,Yukon,40403
2018-10,Yukon,40533
2019-01,Yukon,40716
2019-04,Yukon,40779
2019-07,Yukon,41187
2019-10,Yukon,41460
2020-01,Yukon,41505
2020-04,Yukon,41807
2020-07,Yukon,41958
2020-10,Yukon,42109
2021-01,Yukon,42157
2021-04,Yukon,42443
2021-07,Yukon,42961
2021-10,Yukon,43128
2022-01,Yukon,43067
2022-04,Yukon,43455
2022-07,Yukon,43900
2022-10,Yukon,44193
2023-01,Yukon,44509
2023-04,Yukon,44916
2023-07,Yukon,45463
2023-10,Yukon,45676
2024-01,Yukon,45936
2024-04,Yukon,46353
2024-07,Yukon,46704
2024-10,Yukon,46948
2025-01,Yukon,47126
1991-07,Northwest Territories,38724
1991-10,Northwest Territories,38854
1992-01,Northwest Territories,39055
1992-04,Northwest Territories,39230
1992-07,Northwest Territories,39416
1992-10,Northwest Territories,39422
1993-01,Northwest Territories,39538
1993-04,Northwest Territories,39649
1993-07,Northwest Territories,39820
1993-10,Northwest Territories,40095
1994-01,Northwest Territories,40273
1994-04,Northwest Territories,40383
1994-07,Northwest Territories,40578
1994-10,Northwest Territories,40875
1995-01,Northwest Territories,41114
1995-04,Northwest Territories,41407
1995-07,Northwest Territories,41432
1995-10,Northwest Territories,41470
1996-01,Northwest Territories,41495
1996-04,Northwest Territories,41516
1996-07,Northwest Territories,41741
1996-10,Northwest Territories,41611
1997-01,Northwest Territories,41528
1997-04,Northwest Territories,41668
1997-07,Northwest Territories,41625
1997-10,Northwest Territories,41411
1998-01,Northwest Territories,41222
1998-04,Northwest Territories,40968
1998-07,Northwest Territories,40802
1998-10,Northwest Territories,40635
1999-01,Northwest Territories,40635
1999-04,Northwest Territories,40705
1999-07,Northwest Territories,40638
1999-10,Northwest Territories,40579
2000-01,Northwest Territories,40623
2000-04,Northwest Territories,40455
2000-07,Northwest Territories,40480
2000-10,Northwest Territories,40575
2001-01,Northwest Territories,40624
2001-04,Northwest Territories,40625
2001-07,Northwest Territories,40850
2001-10,Northwest Territories,41175
2002-01,Northwest Territories,41176
2002-04,Northwest Territories,41280
2002-07,Northwest Territories,41698
2002-10,Northwest Territories,41874
2003-01,Northwest Territories,42007
2003-04,Northwest Territories,42218
2003-07,Northwest Territories,42598
2003-10,Northwest Territories,42855
2004-01,Northwest Territories,43166
2004-04,Northwest Territories,43208
2004-07,Northwest Territories,43306
2004-10,Northwest Territories,43354
2005-01,Northwest Territories,43440
2005-04,Northwest Territories,43456
2005-07,Northwest Territories,43399
2005-10,Northwest Territories,43523
2006-01,Northwest Territories,43315
2006-04,Northwest Territories,43101
2006-07,Northwest Territories,43185
2006-10,Northwest Territories,43205
2007-01,Northwest Territories,43088
2007-04,Northwest Territories,43127
2007-07,Northwest Territories,43396
2007-10,Northwest Territories,43286
2008-01,Northwest Territories,43384
2008-04,Northwest Territories,43388
2008-07,Northwest Territories,43385
2008-10,Northwest Territories,43315
2009-01,Northwest Territories,43136
2009-04,Northwest Territories,43122
2009-07,Northwest Territories,43171
2009-10,Northwest Territories,42938
2010-01,Northwest Territories,42981
2010-04,Northwest Territories,43161
2010-07,Northwest Territories,43292
2010-10,Northwest Territories,43307
2011-01,Northwest Territories,43265
2011-04,Northwest Territories,43263
2011-07,Northwest Territories,43493
2011-10,Northwest Territories,43576
2012-01,Northwest Territories,43630
2012-04,Northwest Territories,43678
2012-07,Northwest Territories,43624
2012-10,Northwest Territories,43656
2013-01,Northwest Territories,43709
2013-04,Northwest Territories,43840
2013-07,Northwest Territories,43774
2013-10,Northwest Territories,43727
2014-01,Northwest Territories,43767
2014-04,Northwest Territories,43760
2014-07,Northwest Territories,43851
2014-10,Northwest Territories,44031
2015-01,Northwest Territories,44106
2015-04,Northwest Territories,44159
2015-07,Northwest Territories,44247
2015-10,Northwest Territories,44443
2016-01,Northwest Territories,44515
2016-04,Northwest Territories,44595
2016-07,Northwest Territories,44624
2016-10,Northwest Territories,44471
2017-01,Northwest Territories,44471
2017-04,Northwest Territories,44626
2017-07,Northwest Territories,44656
2017-10,Northwest Territories,44825
2018-01,Northwest Territories,44730
2018-04,Northwest Territories,44934
2018-07,Northwest Territories,44536
2018-10,Northwest Territories,44487
2019-01,Northwest Territories,44675
2019-04,Northwest Territories,44560
2019-07,Northwest Territories,44442
2019-10,Northwest Territories,44512
2020-01,Northwest Territories,44533
2020-04,Northwest Territories,44565
2020-07,Northwest Territories,44504
2020-10,Northwest Territories,44395
2021-01,Northwest Territories,44432
2021-04,Northwest Territories,44679
2021-07,Northwest Territories,44579
2021-10,Northwest Territories,44593
2022-01,Northwest Territories,44752
2022-04,Northwest Territories,44788
2022-07,Northwest Territories,44634
2022-10,Northwest Territories,44588
2023-01,Northwest Territories,44446
2023-04,Northwest Territories,44468
2023-07,Northwest Territories,44681
2023-10,Northwest Territories,44495
2024-01,Northwest Territories,44499
2024-04,Northwest Territories,44686
2024-07,Northwest Territories,44731
2024-10,Northwest Territories,44936
2025-01,Northwest Territories,45074
1991-07,Nunavut,22154
1991-10,Nunavut,22320
1992-01,Nunavut,22497
1992-04,Nunavut,22659
1992-07,Nunavut,22883
1992-10,Nunavut,23005
1993-01,Nunavut,23171
1993-04,Nunavut,23321
1993-07,Nunavut,23559
1993-10,Nunavut,23801
1994-01,Nunavut,23980
1994-04,Nunavut,24205
1994-07,Nunavut,24407
1994-10,Nunavut,24537
1995-01,Nunavut,24691
1995-04,Nunavut,24863
1995-07,Nunavut,24978
1995-10,Nunavut,25120
1996-01,Nunavut,25291
1996-04,Nunavut,25463
1996-07,Nunavut,25669
1996-10,Nunavut,25748
1997-01,Nunavut,25736
1997-04,Nunavut,25839
1997-07,Nunavut,25884
1997-10,Nunavut,25994
1998-01,Nunavut,26082
1998-04,Nunavut,26183
1998-07,Nunavut,26373
1998-10,Nunavut,26449
1999-01,Nunavut,26575
1999-04,Nunavut,26721
1999-07,Nunavut,26820
1999-10,Nunavut,26997
2000-01,Nunavut,27145
2000-04,Nunavut,27228
2000-07,Nunavut,27498
2000-10,Nunavut,27683
2001-01,Nunavut,27798
2001-04,Nunavut,27929
2001-07,Nunavut,28134
2001-10,Nunavut,28178
2002-01,Nunavut,28334
2002-04,Nunavut,28383
2002-07,Nunavut,28817
2002-10,Nunavut,28852
2003-01,Nunavut,28963
2003-04,Nunavut,29099
2003-07,Nunavut,29301
2003-10,Nunavut,29349
2004-01,Nunavut,29495
2004-04,Nunavut,29560
2004-07,Nunavut,29836
2004-10,Nunavut,29792
2005-01,Nunavut,29936
2005-04,Nunavut,30099
2005-07,Nunavut,30328
2005-10,Nunavut,30397
2006-01,Nunavut,30569
2006-04,Nunavut,30641
2006-07,Nunavut,30818
2006-10,Nunavut,30880
2007-01,Nunavut,30957
2007-04,Nunavut,31184
2007-07,Nunavut,31394
2007-10,Nunavut,31560
2008-01,Nunavut,31616
2008-04,Nunavut,31683
2008-07,Nunavut,31898
2008-10,Nunavut,31970
2009-01,Nunavut,32068
2009-04,Nunavut,32393
2009-07,Nunavut,32604
2009-10,Nunavut,32816
2010-01,Nunavut,32926
2010-04,Nunavut,33143
2010-07,Nunavut,33359
2010-10,Nunavut,33577
2011-01,Nunavut,33736
2011-04,Nunavut,33925
2011-07,Nunavut,34185
2011-10,Nunavut,34335
2012-01,Nunavut,34403
2012-04,Nunavut,34579
2012-07,Nunavut,34658
2012-10,Nunavut,34830
2013-01,Nunavut,34963
2013-04,Nunavut,34987
2013-07,Nunavut,35330
2013-10,Nunavut,35536
2014-01,Nunavut,35583
2014-04,Nunavut,35801
2014-07,Nunavut,35966
2014-10,Nunavut,36100
2015-01,Nunavut,36214
2015-04,Nunavut,36277
2015-07,Nunavut,36490
2015-10,Nunavut,36602
2016-01,Nunavut,36718
2016-04,Nunavut,36766
2016-07,Nunavut,36979
2016-10,Nunavut,37084
2017-01,Nunavut,37246
2017-04,Nunavut,37431
2017-07,Nunavut,37656
2017-10,Nunavut,37829
2018-01,Nunavut,37830
2018-04,Nunavut,37976
2018-07,Nunavut,38322
2018-10,Nunavut,38487
2019-01,Nunavut,38574
2019-04,Nunavut,38764
2019-07,Nunavut,38839
2019-10,Nunavut,38893
2020-01,Nunavut,39010
2020-04,Nunavut,39137
2020-07,Nunavut,39479
2020-10,Nunavut,39581
2021-01,Nunavut,39750
2021-04,Nunavut,39879
2021-07,Nunavut,40086
2021-10,Nunavut,40229
2022-01,Nunavut,40271
2022-04,Nunavut,40460
2022-07,Nunavut,40457
2022-10,Nunavut,40491
2023-01,Nunavut,40569
2023-04,Nunavut,40560
2023-07,Nunavut,40700
2023-10,Nunavut,40898
2024-01,Nunavut,40794
2024-04,Nunavut,40851
2024-07,Nunavut,41159
2024-10,Nunavut,41258
2025-01,Nunavut,41414
